timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1559778285682,14920,vídeo,200,OK,Usuarios esperados 1-45,text,true,,213950,138,50,50,https://www.youtube.com/watch?v=wmiIUN-7qhE,2184,0,1366
1559778288283,12324,vídeo,200,OK,Usuarios esperados 1-8,text,true,,217949,138,50,50,https://www.youtube.com/watch?v=wmiIUN-7qhE,1233,0,782
1559778287287,14596,vídeo,200,OK,Usuarios esperados 1-25,text,true,,217269,138,50,50,https://www.youtube.com/watch?v=wmiIUN-7qhE,2193,0,1863
1559778272812,29679,página,200,OK,Usuarios esperados 1-44,text,true,,409638,119,50,50,https://www.youtube.com/,4926,0,3687
1559778286763,16347,vídeo,200,OK,Usuarios esperados 1-5,text,true,,218519,138,50,50,https://www.youtube.com/watch?v=wmiIUN-7qhE,1328,0,531
1559778287046,16066,vídeo,200,OK,Usuarios esperados 1-1,text,true,,218054,138,50,50,https://www.youtube.com/watch?v=wmiIUN-7qhE,1605,0,521
1559778275848,27781,página,200,OK,Usuarios esperados 1-37,text,true,,446547,119,50,50,https://www.youtube.com/,1121,0,546
1559778291365,12844,vídeo,200,OK,Usuarios esperados 1-28,text,true,,216482,138,50,50,https://www.youtube.com/watch?v=wmiIUN-7qhE,1382,0,1061
1559778277439,27645,vídeo,200,OK,Usuarios esperados 1-35,text,true,,217710,138,50,50,https://www.youtube.com/watch?v=wmiIUN-7qhE,10644,0,9775
1559778297966,7135,página,200,OK,Usuarios esperados 1-23,text,true,,482394,119,50,50,https://www.youtube.com/,1128,0,539
1559778273592,31750,página,200,OK,Usuarios esperados 1-3,text,true,,437454,119,50,50,https://www.youtube.com/,5751,0,5337
1559778279720,26539,página,200,OK,Usuarios esperados 1-48,text,true,,410291,119,50,50,https://www.youtube.com/,3035,0,2751
1559778270839,35644,página,200,OK,Usuarios esperados 1-30,text,true,,391885,119,50,50,https://www.youtube.com/,2506,0,2199
1559778273896,32836,página,200,OK,Usuarios esperados 1-9,text,true,,437610,119,50,50,https://www.youtube.com/,2499,0,2240
1559778281567,25637,página,200,OK,Usuarios esperados 1-19,text,true,,402904,119,50,50,https://www.youtube.com/,2259,0,1934
